"","time.index","tv.volume","tv.spend","search.clicks","search.imps","search.matching.query.volume","search.query.volume","search.spend","total.spend","brand.sales","competitor.sales","revenue","profit","tv.budget.index","tv.budget","search.budget.index","search.budget","market.rate"
"1",1,0,0,0,0,0,20848964,0,0,1794111,9995205,11392604.85,11392604.85,1,0,1,0,0.897476403509334
"2",2,0,0,0,0,0,16275693,0,0,1351047,7515503,8660211.27,8660211.27,1,0,1,0,0.674878499024765
"3",3,0,0,0,0,0,19573291,0,0,1671329,9302382,10763358.76,10763358.76,1,0,1,0,0.835302958350928
"4",4,0,0,0,0,0,21733079,0,0,1882631,10463403,12312406.74,12312406.74,1,0,1,0,0.939916380270043
"5",5,0,0,0,0,0,16604900,0,0,1384067,7689909,9037957.51,9037957.51,1,0,1,0,0.690964720740488
"6",6,0,0,0,0,0,17639075,0,0,1484246,8253288,9692126.38,9692126.38,1,0,1,0,0.741331413940678
"7",7,0,0,0,0,0,18274109,0,0,1545967,8584894,9986946.82,9986946.82,1,0,1,0,0.771508023718049
"8",8,0,0,0,0,0,19627774,0,0,1679278,9331694,10915307,10915307,1,0,1,0,0.837527025477915
"9",9,0,0,0,0,0,17716087,0,0,1492294,8293899,9684988.06,9684988.06,1,0,1,0,0.745208347701267
"10",10,0,0,0,0,0,17369297,0,0,1457788,8100852,9446466.24,9446466.24,1,0,1,0,0.727905264348318
"11",11,0,0,0,0,0,15935447,0,0,1317383,7325181,8444425.03,8444425.03,1,0,1,0,0.657597688767096
"12",12,0,0,0,0,0,15601343,0,0,1286407,7148982,8323053.29,8323053.29,1,0,1,0,0.642213345219461
"13",13,0,0,0,0,0,16008709,0,0,1324392,7376012,8568816.24,8568816.24,1,0,1,0,0.662168497370439
"14",14,0,0,0,0,0,15953780,0,0,1317355,7337682,8523286.85,8523286.85,1,0,1,0,0.65927025988427
"15",15,0,0,0,0,0,12997387,0,0,1031324,5740675,6703606,6703606,1,0,1,0,0.515529130692314
"16",16,0,0,0,0,0,13020755,0,0,1034776,5752586,6643261.92,6643261.92,1,0,1,0,0.516684786206632
"17",17,0,0,0,0,0,12379775,0,0,970300,5402923,6141999,6141999,1,0,1,0,0.485550300602728
"18",18,0,0,0,0,0,11737399,0,0,910008,5056416,5787650.88,5787650.88,1,0,1,0,0.454025636820844
"19",19,0,0,0,0,0,11809549,0,0,918417,5096063,5795211.27,5795211.27,1,0,1,0,0.457519415463769
"20",20,0,0,0,0,0,8989533,0,0,641417,3568102,4060169.61,4060169.61,1,0,1,0,0.320422229036015
"21",21,0,0,0,0,0,9939854,0,0,735954,4081916,4570274.34,4570274.34,1,0,1,0,0.366783484258412
"22",22,0,0,0,0,0,8815249,0,0,624609,3472466,3891314.07,3891314.07,1,0,1,0,0.311879257322396
"23",23,0,0,0,0,0,9874493,0,0,726778,4042250,4535094.72,4535094.72,1,0,1,0,0.363299923798286
"24",24,0,0,0,0,0,8222999,0,0,566616,3151978,3501686.88,3501686.88,1,0,1,0,0.283041166909769
"25",25,0,0,0,0,0,9536767,0,0,695143,3866343,4372449.47,4372449.47,1,0,1,0,0.34703083672254
"26",26,0,0,0,0,0,9896265,0,0,729915,4066897,4576567.05,4576567.05,1,0,1,0,0.364977436690665
"27",27,0,0,0,0,0,9360318,0,0,677920,3765938,4365804.8,4365804.8,1,0,1,0,0.338388771068452
"28",28,0,0,0,0,0,8436700,0,0,586879,3271138,3873401.4,3873401.4,1,0,1,0,0.293677858796033
"29",29,0,0,0,0,0,9721103,0,0,714903,3964963,4646869.5,4646869.5,1,0,1,0,0.356056873005117
"30",30,0,0,0,0,0,9179514,0,0,660061,3673515,4349801.99,4349801.99,1,0,1,0,0.329954197365909
"31",31,0,0,0,0,0,9990749,0,0,739346,4108053,4827929.38,4827929.38,1,0,1,0,0.369136026321017
"32",32,0,0,0,0,0,12369398,0,0,970620,5398396,6386679.6,6386679.6,1,0,1,0,0.48481554134561
"33",33,0,0,0,0,0,11294268,0,0,865820,4816671,5593197.2,5593197.2,1,0,1,0,0.432306105132468
"34",34,0,0,0,0,0,11185655,0,0,856505,4759316,5541587.35,5541587.35,1,0,1,0,0.427412940434837
"35",35,0,0,0,0,0,10600389,0,0,799329,4439940,5107712.31,5107712.31,1,0,1,0,0.398668329574502
"36",36,0,0,0,0,0,12239536,0,0,959101,5327470,6051927.31,6051927.31,1,0,1,0,0.478340267643937
"37",37,0,0,0,0,0,11974555,0,0,932507,5191134,6079945.64,6079945.64,1,0,1,0,0.465914361616111
"38",38,0,0,0,0,0,14658386,0,0,1193981,6636064,7784756.12,7784756.12,1,0,1,0,0.595859921453698
"39",39,0,0,0,0,0,15854069,0,0,1310159,7282994,8385017.6,8385017.6,1,0,1,0,0.654027447732928
