"","time.index","tv.volume","tv.spend","search.clicks","search.imps","search.matching.query.volume","search.query.volume","search.spend","total.spend","brand.sales","competitor.sales","revenue","profit","tv.budget.index","tv.budget","search.budget.index","search.budget","market.rate"
"1",1,0,0,0,0,1891160,21016193,0,0,1813273,10084134,11514283.55,11514283.55,1,54500000,1,4800000,0.905820522850623
"2",2,227289322,1136410.47093982,131818,1689875,1689875,18794019,144999.8,1281410.27093982,1693416,8816199,10854796.56,9573386.28906018,1,54500000,1,4800000,0.797402542951231
"3",3,0,0,143566,1816997,1816997,20189239,157922.6,157922.6,1739432,9654888,11201942.08,11044019.48,1,54500000,1,4800000,0.865202626577305
"4",4,442193445,2210818.04807858,149596,1887189,1887189,20963374,164555.6,2375373.64807858,1948282,9953225,12741764.28,10366390.6319214,1,54500000,1,4800000,0.902776306483527
"5",5,0,0,102231,1353501,1353501,15046587,112454.1,112454.1,1233620,6864333,8055538.6,7943084.5,1,54500000,1,4800000,0.615104461045176
"6",6,650395558,3252137.0462902,122535,1591037,1591037,17683740,134788.5,3386925.5462902,1619616,8185463,10576092.48,7189166.9337098,1,54500000,1,4800000,0.743533933568128
"7",7,0,0,119052,1543910,1543910,17155082,130957.2,130957.2,1441817,7999330,9314137.82,9183180.62,1,54500000,1,4800000,0.717432160351918
"8",8,223929484,1119560.4495208,92787,1246673,1246673,13830399,102065.7,1221626.1495208,1178918,6149815,7662967,6441340.85047919,1,54500000,1,4800000,0.556065814027109
"9",9,0,0,117782,1528126,1528126,16981391,129560.2,129560.2,1420976,7907708,9222134.24,9092574.04,1,54500000,1,4800000,0.708934635507145
"10",10,765333534,3826551.36903501,119816,1551947,1551947,17233450,131797.6,3958348.96903501,1572896,7936998,10192366.08,6234017.11096499,1,54500000,1,4800000,0.721421365140914
"11",11,0,0,118029,1533769,1533769,17053434,129831.9,129831.9,1429256,7941161,9161530.96,9031699.06,1,54500000,1,4800000,0.711973028705905
"12",12,707166865,3535656.2304795,108619,1430229,1430229,15904011,119480.9,3655137.1304795,1432428,7232154,9267809.16,5612672.0295205,1,54500000,1,4800000,0.657164628099203
"13",13,0,0,0,0,1326885,14750806,0,0,1203066,6689066,7783837.02,7783837.02,1,54500000,1,4800000,0.600564154406818
"14",14,924359356,4621788.5837836,0,0,1187359,13207462,0,4621788.5837836,1146222,5769702,7416056.34,2794267.7562164,1,54500000,1,4800000,0.525445829943974
"15",15,0,0,93216,1252394,1252394,13911567,102537.6,102537.6,1123493,6244832,7302704.5,7200166.9,1,54500000,1,4800000,0.559982140439206
"16",16,1078334801,5391789.0163645,99526,1325040,1325040,14724126,109478.6,5501267.6163645,1312682,6591943,8427418.44,2926150.8236355,1,54500000,1,4800000,0.599216462051882
"17",17,0,0,75023,1052328,1052328,11702355,82525.3,82525.3,909207,5042529,5755280.31,5672755.01,1,54500000,1,4800000,0.452304496859383
"18",18,0,0,69019,982449,982449,10903561,75920.9,75920.9,827684,4616151,5264070.24,5188149.34,1,54500000,1,4800000,0.413609927848752
"19",19,0,0,67685,967920,967920,10745038,74453.5,74453.5,813765,4526958,5134857.15,5060403.65,1,54500000,1,4800000,0.405831496183595
"20",20,0,0,55272,830104,830104,9238642,60799.2,60799.2,667846,3711000,4227465.18,4166665.98,1,54500000,1,4800000,0.332920617184559
"21",21,0,0,54622,818963,818963,9093903,60084.2,60084.2,654878,3629808,4066792.38,4006708.18,1,54500000,1,4800000,0.325457660097309
"22",22,0,0,76173,1066721,1066721,11856833,83790.3,83790.3,922286,5129579,5745841.78,5662051.48,1,54500000,1,4800000,0.459823896716143
"23",23,478929851,2394518.65762743,73766,1032917,1032917,11476251,81142.6,2475661.25762743,955732,4863554,5963767.68,3488106.42237257,1,54500000,1,4800000,0.441247926544156
"24",24,0,0,58580,862855,862855,9584995,64438,64438,702375,3896402,4340677.5,4276239.5,1,54500000,1,4800000,0.349435848783243
"25",25,339146387,1695922.05121547,61000,891393,891393,9914096,67100,1763022.05121546,785456,4032540,4940518.24,3177496.18878454,1,54500000,1,4800000,0.365535203240838
"26",26,0,0,0,0,810747,9008316,0,0,644032,3575892,4038080.64,4038080.64,1,54500000,1,4800000,0.321268365475037
"27",27,555439193,2777459.83250512,0,0,843409,9366548,0,2777459.83250512,733771,3725057,4725485.24,1948025.40749488,1,54500000,1,4800000,0.338904204511837
"28",28,0,0,51757,789303,789303,8769687,56932.7,56932.7,621996,3455956,4105173.6,4048240.9,1,54500000,1,4800000,0.30987545112271
"29",29,71435097,357283.195637197,62805,910097,910097,10106143,69085.5,426368.695637197,771238,4163602,5013047,4586678.3043628,1,54500000,1,4800000,0.374738648778209
"30",30,0,0,66553,955706,955706,10612269,73208.3,73208.3,802048,4456920,5285496.32,5212288.02,1,54500000,1,4800000,0.399517019279598
"31",31,774921179,3874656.66933717,66170,951416,951416,10563913,72787,3947443.66933717,865764,4367674,5653438.92,1705995.25066283,1,54500000,1,4800000,0.396894255178917
"32",32,0,0,73545,1031855,1031855,11452130,80899.5,80899.5,884398,4914846,5819338.84,5738439.34,1,54500000,1,4800000,0.440373550137324
"33",33,139769090,698884.036864537,63692,921636,921636,10227504,70061.2,768945.236864536,796864,4217714,5147741.44,4378796.20313546,1,54500000,1,4800000,0.380547410432884
"34",34,0,0,70366,999847,999847,11123304,77402.6,77402.6,849875,4727846,5498691.25,5421288.65,1,54500000,1,4800000,0.423759598976211
"35",35,242163895,1210776.53477253,89368,1210104,1210104,13434096,98304.8,1309081.33477253,1143627,5928095,7307776.53,5998695.19522747,1,54500000,1,4800000,0.536740189801249
"36",36,0,0,93587,1261361,1261361,14045247,102945.7,102945.7,1136516,6317580,7171415.96,7068470.26,1,54500000,1,4800000,0.566031514820275
"37",37,596978621,2984926.1489121,89380,1215221,1215221,13498720,98318,3083244.1489121,1171356,5948292,7637241.12,4553996.9710879,1,54500000,1,4800000,0.540019811428306
"38",38,0,0,94638,1271667,1271667,14122908,104101.8,104101.8,1143487,6360758,7455535.24,7351433.44,1,54500000,1,4800000,0.569871483680177
"39",39,437612871,2188011.09834002,0,0,1260845,14009502,0,2188011.09834002,1216579,6212046,7786105.6,5598094.50165998,1,54500000,1,4800000,0.564500296740002
"40",40,0,0,0,0,1267257,14078590,0,0,1138070,6322290,7295028.7,7295028.7,1,54500000,1,4800000,0.567866723088197
"41",41,45484573,227416.083212391,106138,1401562,1401562,15587027,116751.8,344167.883212391,1308577,7133380,7184087.73,6839919.84678761,1,54500000,1,4800000,0.641116359805001
"42",42,0,0,114463,1491699,1491699,16556832,125909.3,125909.3,1382032,7677429,7449152.48,7323243.18,1,54500000,1,4800000,0.688589090592547
"43",43,500070404,2500368.60692194,98942,1312203,1312203,14583545,108836.2,2609204.80692194,1282227,6527496,6859914.45,4250709.64307806,1,54500000,1,4800000,0.592416481009323
"44",44,0,0,99904,1329752,1329752,14782178,109894.4,109894.4,1208976,6723042,6371303.52,6261409.12,1,54500000,1,4800000,0.602753835589172
"45",45,590596173,2952826.20338743,114247,1494673,1494673,16614379,125671.7,3078497.90338743,1502331,7612526,8037470.85,4958972.94661257,1,54500000,1,4800000,0.691588453907579
